ID,Priority,Country,Company,Type,Website,Touch Point (Target Role),Contact Person,Contact Role,Contact LinkedIn URL,Contact Email,Status,First Contact Date,First Contact Channel,Last Material Sent,Last Comm Date,Next Action,Next Action Date,Use Case Interest,Quote Value (USD),Lead Source,Notes
AU-1,🔴 High,AU,Promotion Products,Distributor (25+ team Brisbane/Sydney/Melbourne),promotionproducts.com.au,Founder / Sales Director,,,,,Planned,,,,,,,,,APPA / Research,
AU-2,🔴 High,AU,Dynamic Gift,Distributor + In-house OEM,dynamicgift.com.au,Sourcing Manager,,,,,Planned,,,,,,,,,APPA / Research,
AU-3,🔴 High,AU,Simply Merchandise,Distributor (3-day turnaround),simplymerchandise.com.au,Operations / Sourcing,,,,,Planned,,,,,,,,,APPA / Research,
AU-4,🔴 High,AU,Cubic Promote,Distributor (20-year anniversary 2800+ clients 15k+ SKU),cubicpromote.com.au,Sales Director / Founder,,,,,Planned,,,,,,,,,APPA / Research,
AU-5,🟡 Mid,AU,Vivid Promotions,Distributor (24h express),vividpromotions.com.au,Sales / Sourcing Manager,,,,,Planned,,,,,,,,,Research,
AU-6,🟡 Mid,AU,Promotions Warehouse,Distributor,promotionswarehouse.com.au,Sales Manager,,,,,Planned,,,,,,,,,Research,
AU-7,🔴 High,AU,The Promo Lab,Distributor (strong content marketing),thepromolab.com.au,Founder / Account Director,,,,,Planned,,,,,,,,,APPA / Research,
AU-8,🟡 Mid,AU,Brandengine,Promodata-affiliated platform,brandengine.com.au,Partnership Manager,,,,,Planned,,,,,,,,,Promodata,
AU-9,🟢 Try,AU,Inck Merchandise,Distributor,inck.com.au,Sourcing,,,,,Planned,,,,,,,,,Research,
AU-10,🟡 Mid,AU,Sense2 Australia,Wellness / Health category specialist,sense2.com.au,Sourcing / Buyer,,,,,Planned,,,,,,,,,Research (good for Pause set),
NZ-1,🔴 High,NZ,TRENDS,Largest NZ supplier (35+ years 1800+ SKU trade-only),trends.nz,Buyer / Sourcing Department,,,,,Planned,,,,,,,,,APPA NZ / Research,
