"项目名称","wischosgift"
"日期范围","04/20/2026 00:00 - 04/21/2026 23:59"


"会话总数","17"

"日期","时间","会话持续时间","入口 URL","出口 URL","引用者:","Clarity 用户 ID","浏览器","设备","操作系统","国家/地区","页数","会话点击次数","收藏","录制链接"
"04/21/2026","06:51","01:26","https://wischosgift.com/?gad_source=1&gad_campaignid=23763316514&gclid=CjwKCAjwnZfPBhAGEiwAzg-VzPklJMBXnqck7xxNM25q7L79ccEdYouVdrZgJAdm05hDiJW_wRxKkBoC4rUQAvD_BwE","https://wischosgift.com/?gad_source=1&gad_campaignid=23763316514&gclid=CjwKCAjwnZfPBhAGEiwAzg-VzPklJMBXnqck7xxNM25q7L79ccEdYouVdrZgJAdm05hDiJW_wRxKkBoC4rUQAvD_BwE","https://www.google.com/","zfqlbw","ChromeMobile","Mobile","Android","Canada","3","1","假","https://clarity.microsoft.com/player/w6z70dz6w4/zfqlbw/9f0gh6/?ss=1776725507000&sd=86"
"04/21/2026","03:58","03:07","https://wischosgift.com/landing/executive-gift-set?gad_source=1&gad_campaignid=23763316514&gbraid=0AAAABDaYfjNHHMcH5XFlHvvWSI99sfXX_&gclid=CjwKCAjwnZfPBhAGEiwAzg-VzA1VjaIDGq5nALiK0zAABdid0VJ5ib4vh4BtJKC40eMdjHiT-JiyuhoCyyYQAvD_BwE","https://wischosgift.com/landing/executive-gift-set?gad_source=1&gad_campaignid=23763316514&gbraid=0AAAABDaYfjNHHMcH5XFlHvvWSI99sfXX_&gclid=CjwKCAjwnZfPBhAGEiwAzg-VzA1VjaIDGq5nALiK0zAABdid0VJ5ib4vh4BtJKC40eMdjHiT-JiyuhoCyyYQAvD_BwE","https://www.google.com/","qok55p","Chrome","PC","Windows","Canada","1","0","假","https://clarity.microsoft.com/player/w6z70dz6w4/qok55p/1d5a33o/?ss=1776715112000&sd=187"
"04/21/2026","01:44","00:10","https://wischosgift.com/?gad_source=1&gad_campaignid=23763316514&gclid=CjwKCAjwnZfPBhAGEiwAzg-VzNhK5M87J4jhUUvL7jgszPL77NOScIRkkNGJza0rH8s0oblgHbpOCBoCYr8QAvD_BwE","https://wischosgift.com/?gad_source=1&gad_campaignid=23763316514&gclid=CjwKCAjwnZfPBhAGEiwAzg-VzNhK5M87J4jhUUvL7jgszPL77NOScIRkkNGJza0rH8s0oblgHbpOCBoCYr8QAvD_BwE","https://www.google.com/","1x7kzgj","ChromeMobile","Mobile","iOS","Canada","1","0","假","https://clarity.microsoft.com/player/w6z70dz6w4/1x7kzgj/1wjgp7t/?ss=1776707050000&sd=10"
"04/20/2026","19:36","00:03","https://wischosgift.com/landing/executive-gift-set?gad_source=1&gad_campaignid=23763316514&gbraid=0AAAABDaYfjNvn797VnRDRJQ-7Y2h1I3Fh&gclid=EAIaIQobChMIg5vRs6v8kwMVWKpmAh2rSBOXEAAYASAAEgKLz_D_BwE","https://wischosgift.com/landing/executive-gift-set?gad_source=1&gad_campaignid=23763316514&gbraid=0AAAABDaYfjNvn797VnRDRJQ-7Y2h1I3Fh&gclid=EAIaIQobChMIg5vRs6v8kwMVWKpmAh2rSBOXEAAYASAAEgKLz_D_BwE","https://www.google.com/","1wdo9i4","MobileSafari","Mobile","iOS","Australia","1","0","假","https://clarity.microsoft.com/player/w6z70dz6w4/1wdo9i4/gho02u/?ss=1776685012000&sd=3"
"04/20/2026","17:56","00:08","https://wischosgift.com/landing/executive-gift-set?gad_source=1&gad_campaignid=23763316514&gbraid=0AAAABDaYfjN5GoOhcz8NwMbeb_a3UzbEp&gclid=CjwKCAjwnZfPBhAGEiwAzg-VzNoF7WJDGgCn1HcUTNY8HyaFVagHWsDDLJjhdR9O2dYwPQYrxAsQmxoCb8EQAvD_BwE","https://wischosgift.com/landing/executive-gift-set?gad_source=1&gad_campaignid=23763316514&gbraid=0AAAABDaYfjN5GoOhcz8NwMbeb_a3UzbEp&gclid=CjwKCAjwnZfPBhAGEiwAzg-VzNoF7WJDGgCn1HcUTNY8HyaFVagHWsDDLJjhdR9O2dYwPQYrxAsQmxoCb8EQAvD_BwE","https://www.google.com/","1wh6h42","MobileSafari","Mobile","iOS","Australia","1","0","假","https://clarity.microsoft.com/player/w6z70dz6w4/1wh6h42/1zxvqm/?ss=1776678986000&sd=8"
"04/20/2026","16:28","00:03","https://wischosgift.com/?gad_source=1&gad_campaignid=23763316514&gbraid=0AAAABDaYfjNvn797VnRDRJQ-7Y2h1I3Fh&gclid=CjwKCAjwnZfPBhAGEiwAzg-VzA1GDJliX6tEuVJnhk5rOgWM758X8EhC--zUcTK1pFRYlXg-fIoFThoCqNwQAvD_BwE","https://wischosgift.com/?gad_source=1&gad_campaignid=23763316514&gbraid=0AAAABDaYfjNvn797VnRDRJQ-7Y2h1I3Fh&gclid=CjwKCAjwnZfPBhAGEiwAzg-VzA1GDJliX6tEuVJnhk5rOgWM758X8EhC--zUcTK1pFRYlXg-fIoFThoCqNwQAvD_BwE","https://www.google.com/","1kfqvqt","ChromeMobile","Mobile","Android","Australia","1","0","假","https://clarity.microsoft.com/player/w6z70dz6w4/1kfqvqt/vqyls6/?ss=1776673727000&sd=3"
"04/20/2026","14:24","00:12","https://wischosgift.com/landing/executive-gift-set?gad_source=1&gad_campaignid=23763316514&gbraid=0AAAABDaYfjNHHMcH5XFlHvvWSI99sfXX_&gclid=EAIaIQobChMI9ODj2eX7kwMVCBatBh0kYBksEAAYAiAAEgJHwvD_BwE","https://wischosgift.com/landing/executive-gift-set?gad_source=1&gad_campaignid=23763316514&gbraid=0AAAABDaYfjNHHMcH5XFlHvvWSI99sfXX_&gclid=EAIaIQobChMI9ODj2eX7kwMVCBatBh0kYBksEAAYAiAAEgJHwvD_BwE","https://www.google.com/","1pe7lo","MobileSafari","Tablet","iOS","Canada","1","0","假","https://clarity.microsoft.com/player/w6z70dz6w4/1pe7lo/11p1qnx/?ss=1776666299000&sd=12"
"04/20/2026","14:01","00:03","https://wischosgift.com/landing/executive-gift-set?gad_source=1&gad_campaignid=23763316514&gbraid=0AAAABDaYfjNvn797VnRDRJQ-7Y2h1I3Fh&gclid=Cj0KCQjw-pHPBhCdARIsAHXYWP9msabf9WoUjmz7bLMXM5Dek7ojqwzWTPU7kOl00d7-j0Wb-2EDIkIaAsVsEALw_wcB","https://wischosgift.com/landing/executive-gift-set?gad_source=1&gad_campaignid=23763316514&gbraid=0AAAABDaYfjNvn797VnRDRJQ-7Y2h1I3Fh&gclid=Cj0KCQjw-pHPBhCdARIsAHXYWP9msabf9WoUjmz7bLMXM5Dek7ojqwzWTPU7kOl00d7-j0Wb-2EDIkIaAsVsEALw_wcB","https://www.google.com/","13uujuk","MobileSafari","Mobile","iOS","Canada","1","0","假","https://clarity.microsoft.com/player/w6z70dz6w4/13uujuk/ir1rtv/?ss=1776664881000&sd=3"
"04/20/2026","13:09","00:18","https://wischosgift.com/landing/executive-gift-set?gad_source=1&gad_campaignid=23763316514&gbraid=0AAAABDaYfjNvn797VnRDRJQ-7Y2h1I3Fh&gclid=Cj0KCQjw-pHPBhCdARIsAHXYWP8dR2ZDlSJZTBfiK1m3mNmPYXAnZJkZ5eCgTAFDWr5IERDRrrzud8saAqamEALw_wcB","https://wischosgift.com/landing/executive-gift-set?gad_source=1&gad_campaignid=23763316514&gbraid=0AAAABDaYfjNvn797VnRDRJQ-7Y2h1I3Fh&gclid=Cj0KCQjw-pHPBhCdARIsAHXYWP8dR2ZDlSJZTBfiK1m3mNmPYXAnZJkZ5eCgTAFDWr5IERDRrrzud8saAqamEALw_wcB","https://www.google.com/","o5hewt","MobileSafari","Mobile","iOS","Australia","2","0","假","https://clarity.microsoft.com/player/w6z70dz6w4/o5hewt/1ioi3vk/?ss=1776661753000&sd=18"
"04/20/2026","13:01","00:16","https://wischosgift.com/landing/executive-gift-set?gad_source=1&gad_campaignid=23763316514&gbraid=0AAAABDaYfjNHHMcH5XFlHvvWSI99sfXX_&gclid=EAIaIQobChMIn_fs-NL7kwMVSojCCB2WqAEjEAMYASAAEgJQ6PD_BwE","https://wischosgift.com/landing/executive-gift-set?gad_source=1&gad_campaignid=23763316514&gbraid=0AAAABDaYfjNHHMcH5XFlHvvWSI99sfXX_&gclid=EAIaIQobChMIn_fs-NL7kwMVSojCCB2WqAEjEAMYASAAEgJQ6PD_BwE","https://www.google.com/","4gsyjp","MobileSafari","Tablet","iOS","Canada","1","0","假","https://clarity.microsoft.com/player/w6z70dz6w4/4gsyjp/1ojq0ng/?ss=1776661272000&sd=16"
