项目名称,wischosgift,,,,,,,,,,,,,
日期范围,04/23/2026 00:00 - 04/24/2026 23:59,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
会话总数,15,,,,,,,,,,,,,
,,,,,,,,,,,,,,
日期,时间,会话持续时间,入口 URL,出口 URL,引用者:,Clarity 用户 ID,浏览器,设备,操作系统,国家/地区,页数,会话点击次数,收藏,录制链接
04/24/2026,4:54,0:12,https://wischosgift.com/landing/executive-gift-set?gad_source=1&gad_campaignid=23763316514&gbraid=0AAAABDaYfjOGTexfM1jGAuIjEANcHa-ek&gclid=EAIaIQobChMI3-n52e2ElAMVxAutBh1IlDVkEAAYAyAAEgKj1vD_BwE,https://wischosgift.com/landing/executive-gift-set?gad_source=1&gad_campaignid=23763316514&gbraid=0AAAABDaYfjOGTexfM1jGAuIjEANcHa-ek&gclid=EAIaIQobChMI3-n52e2ElAMVxAutBh1IlDVkEAAYAyAAEgKj1vD_BwE,https://www.google.com/,1gz385f,MobileSafari,Mobile,iOS,Canada,1,0,假,https://clarity.microsoft.com/player/w6z70dz6w4/1gz385f/1v19yb9/?ss=1776977687000&sd=12
04/24/2026,3:44,0:05,https://wischosgift.com/landing/executive-gift-set?gad_source=1&gad_campaignid=23763316514&gclid=CjwKCAjwhqfPBhBWEiwAZo196okostPMa_mJSDkvjPTWN3M1Pgc8ninDMjgveUoxK8GRioQ-kmqNqhoCRLwQAvD_BwE,https://wischosgift.com/landing/executive-gift-set?gad_source=1&gad_campaignid=23763316514&gclid=CjwKCAjwhqfPBhBWEiwAZo196okostPMa_mJSDkvjPTWN3M1Pgc8ninDMjgveUoxK8GRioQ-kmqNqhoCRLwQAvD_BwE,https://www.google.com/,1g3po3v,ChromeMobile,Mobile,iOS,Canada,1,0,假,https://clarity.microsoft.com/player/w6z70dz6w4/1g3po3v/1gjt4pi/?ss=1776973492000&sd=5
04/24/2026,2:20,1:02,https://wischosgift.com/landing/executive-gift-set?gad_source=1&gad_campaignid=23763316514&gbraid=0AAAABDaYfjMWljUFMqWEanjmt7eecGG0d&gclid=EAIaIQobChMI9PSp-MqElAMVC4zCCB1lsCqZEAMYASAAEgI6EPD_BwE,https://wischosgift.com/?gad_source=1&gad_campaignid=23763316514&gbraid=0AAAABDaYfjMWljUFMqWEanjmt7eecGG0d&gclid=EAIaIQobChMI9PSp-MqElAMVC4zCCB1lsCqZEAMYASACEgJMb_D_BwE,https://www.google.com/,1sj8gtu,Chrome,PC,Windows,Canada,2,1,假,https://clarity.microsoft.com/player/w6z70dz6w4/1sj8gtu/nbzrqv/?ss=1776968457000&sd=62
04/24/2026,0:26,0:32,https://wischosgift.com/,https://wischosgift.com/products,,4xohsa,Chrome,PC,Linux,United States,2,1,假,https://clarity.microsoft.com/player/w6z70dz6w4/4xohsa/1373xmn/?ss=1776961601000&sd=32
04/24/2026,0:21,0:01,https://wischosgift.com/,https://wischosgift.com/,,coqpef,Chrome,PC,Linux,United States,1,0,假,https://clarity.microsoft.com/player/w6z70dz6w4/coqpef/10q3t6t/?ss=1776961298000&sd=1
04/23/2026,21:48,1:16,https://wischosgift.com/landing/executive-gift-set?gad_source=1&gad_campaignid=23763316514&gclid=CjwKCAjwhqfPBhBWEiwAZo196qWusqSBT0lFi7td-B5n2IvrrOWoLp4Ssdi4at5Vhjy0PCK_wLVOOxoCi6oQAvD_BwE,https://wischosgift.com/landing/executive-gift-set?gad_source=1&gad_campaignid=23763316514&gclid=CjwKCAjwhqfPBhBWEiwAZo196qWusqSBT0lFi7td-B5n2IvrrOWoLp4Ssdi4at5Vhjy0PCK_wLVOOxoCi6oQAvD_BwE,https://www.google.com/,adrit8,GoogleApp,Mobile,iOS,United States,1,0,假,https://clarity.microsoft.com/player/w6z70dz6w4/adrit8/ggh8yr/?ss=1776952094000&sd=76
04/23/2026,19:28,0:30,https://wischosgift.com/landing/executive-gift-set?gad_source=1&gad_campaignid=23763316514&gclid=CjwKCAjwhqfPBhBWEiwAZo196tyXjVWQ3REgwGQ2IZTovFzKciLtZMIxXLWphdi6AdTQuz1kPgpEHBoCDXwQAvD_BwE,https://wischosgift.com/landing/executive-gift-set?gad_source=1&gad_campaignid=23763316514&gclid=CjwKCAjwhqfPBhBWEiwAZo196tyXjVWQ3REgwGQ2IZTovFzKciLtZMIxXLWphdi6AdTQuz1kPgpEHBoCDXwQAvD_BwE,https://www.google.com/,1sc0d7n,ChromeMobile,Mobile,iOS,Australia,1,4,假,https://clarity.microsoft.com/player/w6z70dz6w4/1sc0d7n/seb0wz/?ss=1776943720000&sd=30
04/23/2026,18:23,0:01,https://wischosgift.com/landing/executive-gift-set,https://wischosgift.com/landing/executive-gift-set,,1boms5q,MobileSafari,Mobile,iOS,Australia,1,0,假,https://clarity.microsoft.com/player/w6z70dz6w4/1boms5q/1dkcrqv/?ss=1776939814000&sd=1
04/23/2026,13:05,0:58,https://wischosgift.com/landing/executive-gift-set,https://wischosgift.com/,,hgaybf,Chrome,PC,ChromeOS,India,2,0,假,https://clarity.microsoft.com/player/w6z70dz6w4/hgaybf/nqhsw3/?ss=1776920706000&sd=58
04/23/2026,12:55,5:34,https://wischosgift.com/landing/executive-gift-set,https://wischosgift.com/,,vonjyo,Chrome,PC,ChromeOS,India,8,13,假,https://clarity.microsoft.com/player/w6z70dz6w4/vonjyo/1loplyv/?ss=1776920143000&sd=334
